,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,state,number_of_years_of_education,number_of_solar_system_per_household,housing_unit_median_value,household_count,solar_system_count_residential,total_panel_area_residential,daily_solar_radiation,electricity_price_residential,square_miles,pop_density
36,20,Kansas,2912619,36.9,61091,32798,323644,11.11178633,2.106660706,ks,13.65376126,0.000895656,107000,882662,1231,29112.41705,4.301327731,12.34,82278,35.39973018
37,40,Oklahoma,3949342,36.7,53840,29873,585520,14.82576085,2.416630416,ok,13.21884563,0.000743218,98600,1280337,1560,37604.33433,4.479076752,10.14,69899,56.50069386
38,55,Wisconsin,5806975,39.6,63293,34450,620947,10.69312336,1.891759479,wi,13.52969583,0.000788955,150000,2143706,2695,58899.8701,3.745541059,14.11,65498,88.65881401
39,28,Mississippi,2981835,37.7,46511,25444,564439,18.92924994,3.198667934,ms,12.79224647,0.000418235,83600,949704,785,20363.16897,4.387908612,11.27,48430,61.56999794
40,29,Missouri,6124160,38.7,57290,31839,772992,12.62200857,2.26435952,mo,13.32846424,0.001174743,113800,2018065,3966,108802.2662,4.119353234,11.21,69715,87.84565732
41,26,Michigan,9973907,39.8,59234,32854,1337256,13.40754431,2.989219771,mi,13.48062764,0.000710732,108150,3552631,4423,92971.84609,3.685303628,14.42,96716,103.1257186
42,44,Rhode Island,1057798,40,70305,37504,117785,11.13492368,2.955479212,ri,13.58610414,0.002549395,209500,349077,1259,28119.72943,3.805665025,19.29,1214,871.3327842
43,27,Minnesota,5600166,38.1,73382,38881,511185,9.12803299,2.091313008,mn,13.87640141,0.000782167,169850,1774257,2342,53614.86573,3.724316163,12.12,86943,64.41192505
44,19,Iowa,3150011,38.3,61836,33021,339090,10.76472431,2.086913347,ia,13.5195012,0.000904773,117600,924466,1525,36007.61772,3.887852459,11.63,55857,56.39420305
45,35,New Mexico,2097021,38.1,51243,27945,381026,18.1698705,2.984233348,nm,13.31812516,0.006316621,150000,758122,11244,305629.3327,5.144032587,12.47,121697,17.23149297
46,32,Nevada,3030281,38.2,62043,32629,381695,12.59602657,3.307350044,nv,13.18465551,0.023240158,159150,756458,26572,736810.8077,5.143873518,12.76,110567,27.4067398
47,10,Delaware,967679,41,69110,36574,107641,11.12362674,2.928037087,de,13.6244317,0.006725293,220050,306009,2759,79370.47703,3.907604167,13.42,1982,488.2336024
49,21,Kentucky,4461952,39,52238,29123,717895,16.08925869,2.539135338,ky,13.044317,0.000438212,113200,1332371,1193,27423.36311,3.935973716,10.24,40409,110.419758
50,46,South Dakota,879336,37.2,59896,31415,108863,12.38013683,1.851510685,sd,13.46423668,0.000378504,121600,284442,218,4814.220965,3.945876289,11.08,77116,11.40276985
51,47,Tennessee,6772268,38.8,54833,30869,965213,14.2524336,2.618930615,tn,13.10732177,0.000517063,122900,2238513,2028,51381.63957,4.113503376,10.3,42180,160.5563774
