,State,Name,Lat,Lng,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,state,number_of_years_of_education,number_of_solar_system_per_household,housing_unit_median_value,household_count,solar_system_count_residential,total_panel_area_residential,daily_solar_radiation,electricity_price_residential,square_miles,pop_density,increase_4.1%_value,housing_unit_value_+4.1%,owned_households_%,rented_households_%,homes_#_powered_by_solar,homes_%_powered_by_solar,state_elect_from_solar_%,solar_companies_in_state,MW_currently_installed,MW_growth_projection_5_years,MW_total_in_5_years,MW_output_%_in_5_years
46,32,Nevada,39.1641,-119.7661,3030281,38.2,62043,32629,381695,12.59602657,3.307350044,nv,13.18465551,0.023240158,159150,756458,26572,736810.8077,5.143873518,12.76,110567,27.4067398,6525.15,165675.15,59.1,40.9,857303,113.3312094,0.2187,87,5003,7707,12710,254.0475715
13,33,New Hampshire,43.2069,-71.5381,1355244,43,77923,41234,97418,7.188225884,2.101392812,nh,13.98483097,0.001217039,230500,458730,1234,30538.72949,3.641361868,18.5,9349,144.9613862,9450.5,239950.5,72.5,27.5,28327,6.175092102,0.0117,55,184,631,815,442.9347826
29,34,New Jersey,40.2202,-74.771,8885418,40,85245,44153,842704,9.484123313,3.058888169,nj,13.72165355,0.008064516,287100,2640497,36756,1002183.352,3.823544073,15.81,8723,1018.619512,11771.1,298871.1,64.4,35.6,662947,25.10690222,0.0676,370,4097,2353,6450,157.4322675
45,35,New Mexico,35.6824,-105.9399,2097021,38.1,51243,27945,381026,18.1698705,2.984233348,nm,13.31812516,0.006316621,150000,758122,11244,305629.3327,5.144032587,12.47,121697,17.23149297,6150,156150,69.5,30.5,344556,45.44862173,0.0605,69,1452,4365,5817,400.6198347
4,36,New York,42.6528,-73.7572,19514849,39,71117,40898,2581048,13.22607211,2.923773584,ny,13.65585764,0.001493096,354650,6925678,52873,1366821.707,3.821709439,18.54,54556,357.7030757,14540.65,369190.65,55.4,44.6,632257,9.12917118,0.0355,645,3804,8313,12117,318.533123
33,37,North Carolina,35.7804,-78.6391,10386227,38.9,56642,31993,1411939,13.59433989,2.679933724,nc,13.42792491,0.000811688,142100,3264083,4411,104374.136,4.206571429,11.28,53819,192.9843921,5826.1,147926.1,66.9,33.1,941999,28.85952961,0.0849,213,8018,1902,9920,123.7216263
9,38,North Dakota,46.821,-100.7816,760394,35.2,65315,36289,77491,10.19090103,1.691360005,nd,13.5994654,0.000356761,126100,252332,273,5715.009187,3.735085714,9.62,70705,10.75445867,5170.1,131270.1,63.1,36.9,147,0.058256583,0.0001,8,2,298,300,15000
27,39,Ohio,39.9601,-82.9995,11675275,39.5,58116,32465,1546011,13.24175234,2.687979512,oh,13.30988348,0.000693001,115900,3925961,4646,103124.5222,3.746161817,12.8,44825,260.463469,4751.9,120651.9,67.2,32.8,107207,2.730719943,0.0091,205,900,11226,12126,1347.333333
37,40,Oklahoma,35.4922,-97.5032,3949342,36.7,53840,29873,585520,14.82576085,2.416630416,ok,13.21884563,0.000743218,98600,1280337,1560,37604.33433,4.479076752,10.14,69899,56.50069386,4042.6,102642.6,65.5,34.5,11517,0.899528796,0.0018,26,100,2877,2977,2977
14,41,Oregon,44.9385,-123.0303,4176346,39.5,65667,35393,506558,12.12921535,2.784659125,or,13.86108813,0.006735341,225900,1324969,12513,279018.562,3.780534459,10.66,98466,42.41409217,9261.9,235161.9,63.8,36.2,166346,12.55470883,0.0306,112,1330,2511,3841,288.7969925
0,42,Pennsylvania,40.2643,-76.884,12794885,40.9,63627,35518,1480430,11.57048305,2.745222016,pa,13.47296315,0.001049871,150700,4270226,8238,202549.1045,3.715774596,13.64,46055,277.8175008,6178.7,156878.7,69.9,30.1,115177,2.697210874,0.0043,402,955,4098,5053,529.1099476
42,44,Rhode Island,41.8308,-71.4153,1057798,40,70305,37504,117785,11.13492368,2.955479212,ri,13.58610414,0.002549395,209500,349077,1259,28119.72943,3.805665025,19.29,1214,871.3327842,8589.5,218089.5,63.3,36.7,108814,31.17191909,0.097,27,600,635,1235,205.8333333
8,45,South Carolina,34.0001,-81.033,5091517,39.7,54864,30727,726470,14.26824265,2.660975108,sc,13.25904421,0.001246106,124900,1579901,4569,122116.3651,4.379648188,12.57,32020,159.0105247,5120.9,130020.9,71.8,28.2,239383,15.15177217,0.0282,73,2044,1456,3500,171.2328767
50,46,South Dakota,44.3671,-100.3464,879336,37.2,59896,31415,108863,12.38013683,1.851510685,sd,13.46423668,0.000378504,121600,284442,218,4814.220965,3.945876289,11.08,77116,11.40276985,4985.6,126585.6,69.4,30.6,232,0.081563201,0.0002,11,2,252,254,12700
51,47,Tennessee,36.1658,-86.7842,6772268,38.8,54833,30869,965213,14.2524336,2.618930615,tn,13.10732177,0.000517063,122900,2238513,2028,51381.63957,4.113503376,10.3,42180,160.5563774,5038.9,127938.9,67.5,32.5,61109,2.729892567,0.0071,109,608,1664,2272,373.6842105
24,48,Texas,30.2747,-97.7404,28635442,34.8,63826,32177,3984260,13.91373669,2.629203349,tx,13.06431578,0.001316656,113500,8156623,27187,718350.2409,4.642000862,11.56,268597,106.6111759,4653.5,118153.5,62.6,37.4,1753863,21.50231781,0.0421,506,15079,40136,55215,366.1714968
3,49,Utah,40.7774,-111.8882,3151239,31.1,74197,30986,283360,8.992018695,1.835119456,ut,13.95278666,0.010257333,208200,795526,11149,253506.4749,4.68845098,10.88,84899,37.11750433,8536.2,216736.2,69.7,30.3,513724,64.57664489,0.1058,107,2735,1898,4633,169.3967093
32,50,Vermont,44.2625,-72.5804,624340,42.8,63477,35854,64700,10.36294327,2.057372585,vt,14.0232115,0,218600,253321,526,12348.22628,3.525414365,17.09,9616,64.92720466,8962.6,227562.6,72.7,27.3,71985,28.41651501,0.1697,62,407,177,584,143.4889435
31,51,Virginia,37.5387,-77.4337,8509358,38.4,76398,41255,826708,9.715280518,2.382612178,va,13.88194712,0.000560538,225700,2737656,3177,67790.82643,4.035006039,11.37,42775,198.9329749,9253.7,234953.7,67.6,32.4,429217,15.67826637,0.0499,179,3845,7013,10858,282.3927178
35,53,Washington,38.8899,-77.0091,7512465,37.8,77006,40837,751044,9.99730448,2.509988399,wa,13.90395126,0.002784936,241950,2430851,10697,243622.9842,3.496783537,9.09,71300,105.3641655,9919.95,251869.95,64,36,32305,1.328958459,0.0035,131,332,1294,1626,489.7590361
2,54,West Virginia,38.3364,-81.6122,1807426,42.7,48037,27346,300152,16.60659966,2.878734731,wv,12.86015286,0,95600,714719,499,11229.05033,3.786638116,10.08,24038,75.19036526,3919.6,99519.6,75.2,24.8,2068,0.289344484,0.0004,17,23,816,839,3647.826087
38,55,Wisconsin,43.0747,-89.3841,5806975,39.6,63293,34450,620947,10.69312336,1.891759479,wi,13.52969583,0.000788955,150000,2143706,2695,58899.8701,3.745541059,14.11,65498,88.65881401,6150,156150,68.1,31.9,137005,6.391034965,0.013,145,861,4932,5793,672.8222997
15,56,Wyoming,41.1403,-104.8202,581348,38,65304,34415,61006,10.49388662,2.274369225,wy,13.67301052,0.001514018,188200,217609,455,9787.672909,4.35483871,10.97,97914,5.937332761,7716.2,195916.2,71.4,28.6,22766,10.46188347,0.0046,8,143,234,377,263.6363636
